supportMultiConnection: true
connectAsAudio: true
hostMinMemory: 0MB
requiresPairing: true
06-14 17:25:54.778	tUHM:GearRulesManager. groupGearSetMap.put(GEAR FIT2 , [GEAR FIT2]
06-14 17:25:54.778	tUHM:GearRulesManager.GearInfo :deviceName: Gear Fit2
containerPackage: com.samsung.android.gearfit2plugin
pluginPackage: com.samsung.android.gearfit2plugin
supportTablet: false
supportNonSamsung: true
supportMultiConnection: false
connectAsAudio: false
hostMinMemory: 1024MB
requiresPairing: true
06-14 17:25:54.778	tUHM:GearRulesManager.GearInfo :deviceName: Gear Fit2 Pro
containerPackage: com.samsung.android.gearfit2plugin
pluginPackage: com.samsung.android.gearfit2plugin
supportTablet: false
supportNonSamsung: true
supportMultiConnection: false
connectAsAudio: false
hostMinMemory: 1024MB
requiresPairing: true
06-14 17:25:54.778	tUHM:GearRulesManager. groupGearSetMap.put(GEAR ICONX , [GEAR TRIATHLON M]
06-14 17:25:54.778	tUHM:GearRulesManager.GearInfo :deviceName: Gear Triathlon M
containerPackage: null
pluginPackage: com.samsung.accessory.triathlonmgr
supportTablet: false
supportNonSamsung: true
supportMultiConnection: true
connectAsAudio: true
hostMinMemory: 0MB
requiresPairing: true
06-14 17:25:54.779	tUHM:GearRulesManager.GearInfo :deviceName: Gear Triathlon S
containerPackage: null
pluginPackage: com.samsung.accessory.triathlonmgr
supportTablet: false
supportNonSamsung: true
supportMultiConnection: true
connectAsAudio: true
hostMinMemory: 0MB
requiresPairing: true
06-14 17:25:54.779	tUHM:GearRulesManager.GearInfo :deviceName: Gear IconX R
containerPackage: null
pluginPackage: com.samsung.accessory.triathlonmgr
supportTablet: false
supportNonSamsung: true
supportMultiConnection: true
connectAsAudio: true
hostMinMemory: 0MB
requiresPairing: true
06-14 17:25:54.779	tUHM:GearRulesManager.GearInfo :deviceName: Gear IconX L
containerPackage: null
pluginPackage: com.samsung.accessory.triathlonmgr
supportTablet: false
supportNonSamsung: true
supportMultiConnection: true
connectAsAudio: true
hostMinMemory: 0MB
